feat_path_a,feat_path_b,label,description,pair_kind,source_group
060_ori.npy,063_comp.npy,0.0,hard-neg-mippia: 060_ori vs 063_comp,mippia_hard_negative,mippia_hard_negative
022_ori.npy,024_comp.npy,0.0,hard-neg-mippia: 022_ori vs 024_comp,mippia_hard_negative,mippia_hard_negative
034_ori.npy,008_comp.npy,0.0,hard-neg-mippia: 034_ori vs 008_comp,mippia_hard_negative,mippia_hard_negative
045_ori.npy,001_comp.npy,0.0,hard-neg-mippia: 045_ori vs 001_comp,mippia_hard_negative,mippia_hard_negative
009_ori.npy,009_comp.npy,1.0,plag: 009_ori -> 009_comp,mippia_positive,mippia
057_ori.npy,017_comp.npy,0.0,hard-neg-mippia: 057_ori vs 017_comp,mippia_hard_negative,mippia_hard_negative
015_ori.npy,057_comp.npy,0.0,hard-neg-mippia: 015_ori vs 057_comp,mippia_hard_negative,mippia_hard_negative
034_ori.npy,024_comp.npy,0.0,hard-neg-mippia: 034_ori vs 024_comp,mippia_hard_negative,mippia_hard_negative
053_ori.npy,056_comp.npy,0.0,hard-neg-mippia: 053_ori vs 056_comp,mippia_hard_negative,mippia_hard_negative
001_ori.npy,001_comp.npy,1.0,plag: 001_ori -> 001_comp,mippia_positive,mippia
057_ori.npy,057_comp.npy,1.0,remake: 057_ori -> 057_comp,mippia_positive,mippia
066_ori.npy,066_comp.npy,1.0,plag: 066_ori -> 066_comp,mippia_positive,mippia
054_ori.npy,054_comp.npy,1.0,remake: 054_ori -> 054_comp,mippia_positive,mippia
069_ori.npy,004_comp.npy,0.0,hard-neg-mippia: 069_ori vs 004_comp,mippia_hard_negative,mippia_hard_negative
035_ori.npy,035_comp.npy,0.0,plag_doubt-as-negative: 035_ori -> 035_comp,mippia_plag_doubt_negative,mippia
055_ori.npy,055_comp.npy,1.0,remake: 055_ori -> 055_comp,mippia_positive,mippia
045_ori.npy,045_comp.npy,1.0,remake: 045_ori -> 045_comp,mippia_positive,mippia
015_ori.npy,015_comp.npy,1.0,plag: 015_ori -> 015_comp,mippia_positive,mippia
011_ori.npy,011_comp.npy,1.0,remake: 011_ori -> 011_comp,mippia_positive,mippia
024_ori.npy,024_comp.npy,1.0,plag: 024_ori -> 024_comp,mippia_positive,mippia
020_ori.npy,020_comp.npy,1.0,plag: 020_ori -> 020_comp,mippia_positive,mippia
018_ori.npy,012_comp.npy,0.0,hard-neg-mippia: 018_ori vs 012_comp,mippia_hard_negative,mippia_hard_negative
003_ori.npy,044_comp.npy,0.0,hard-neg-mippia: 003_ori vs 044_comp,mippia_hard_negative,mippia_hard_negative
056_ori.npy,055_comp.npy,0.0,hard-neg-mippia: 056_ori vs 055_comp,mippia_hard_negative,mippia_hard_negative
032_ori.npy,032_comp.npy,1.0,remake: 032_ori -> 032_comp,mippia_positive,mippia
024_ori.npy,035_comp.npy,0.0,hard-neg-mippia: 024_ori vs 035_comp,mippia_hard_negative,mippia_hard_negative
054_ori.npy,034_comp.npy,0.0,hard-neg-mippia: 054_ori vs 034_comp,mippia_hard_negative,mippia_hard_negative
062_ori.npy,062_comp.npy,1.0,remake: 062_ori -> 062_comp,mippia_positive,mippia
003_ori.npy,029_comp.npy,0.0,hard-neg-mippia: 003_ori vs 029_comp,mippia_hard_negative,mippia_hard_negative
060_ori.npy,060_comp.npy,1.0,remake: 060_ori -> 060_comp,mippia_positive,mippia
022_ori.npy,041_comp.npy,0.0,hard-neg-mippia: 022_ori vs 041_comp,mippia_hard_negative,mippia_hard_negative
069_ori.npy,066_comp.npy,0.0,hard-neg-mippia: 069_ori vs 066_comp,mippia_hard_negative,mippia_hard_negative
004_ori.npy,042_comp.npy,0.0,hard-neg-mippia: 004_ori vs 042_comp,mippia_hard_negative,mippia_hard_negative
069_ori.npy,069_comp.npy,1.0,plag: 069_ori -> 069_comp,mippia_positive,mippia
029_ori.npy,029_comp.npy,1.0,plag: 029_ori -> 029_comp,mippia_positive,mippia
014_ori.npy,011_comp.npy,0.0,hard-neg-mippia: 014_ori vs 011_comp,mippia_hard_negative,mippia_hard_negative
043_ori.npy,043_comp.npy,1.0,plag: 043_ori -> 043_comp,mippia_positive,mippia
016_ori.npy,016_comp.npy,1.0,plag: 016_ori -> 016_comp,mippia_positive,mippia
057_ori.npy,055_comp.npy,0.0,hard-neg-mippia: 057_ori vs 055_comp,mippia_hard_negative,mippia_hard_negative
019_ori.npy,055_comp.npy,0.0,hard-neg-mippia: 019_ori vs 055_comp,mippia_hard_negative,mippia_hard_negative
010_ori.npy,010_comp.npy,0.0,plag_doubt-as-negative: 010_ori -> 010_comp,mippia_plag_doubt_negative,mippia
014_ori.npy,017_comp.npy,0.0,hard-neg-mippia: 014_ori vs 017_comp,mippia_hard_negative,mippia_hard_negative
025_ori.npy,055_comp.npy,0.0,hard-neg-mippia: 025_ori vs 055_comp,mippia_hard_negative,mippia_hard_negative
027_ori.npy,066_comp.npy,0.0,hard-neg-mippia: 027_ori vs 066_comp,mippia_hard_negative,mippia_hard_negative
062_ori.npy,008_comp.npy,0.0,hard-neg-mippia: 062_ori vs 008_comp,mippia_hard_negative,mippia_hard_negative
043_ori.npy,015_comp.npy,0.0,hard-neg-mippia: 043_ori vs 015_comp,mippia_hard_negative,mippia_hard_negative
037_ori.npy,069_comp.npy,0.0,hard-neg-mippia: 037_ori vs 069_comp,mippia_hard_negative,mippia_hard_negative
034_ori.npy,034_comp.npy,1.0,plag: 034_ori -> 034_comp,mippia_positive,mippia
018_ori.npy,018_comp.npy,1.0,plag: 018_ori -> 018_comp,mippia_positive,mippia
009_ori.npy,024_comp.npy,0.0,hard-neg-mippia: 009_ori vs 024_comp,mippia_hard_negative,mippia_hard_negative
024_ori.npy,006_comp.npy,0.0,hard-neg-mippia: 024_ori vs 006_comp,mippia_hard_negative,mippia_hard_negative
019_ori.npy,056_comp.npy,0.0,hard-neg-mippia: 019_ori vs 056_comp,mippia_hard_negative,mippia_hard_negative
005_ori.npy,001_comp.npy,0.0,hard-neg-mippia: 005_ori vs 001_comp,mippia_hard_negative,mippia_hard_negative
058_ori.npy,069_comp.npy,0.0,hard-neg-mippia: 058_ori vs 069_comp,mippia_hard_negative,mippia_hard_negative
066_ori.npy,065_comp.npy,0.0,hard-neg-mippia: 066_ori vs 065_comp,mippia_hard_negative,mippia_hard_negative
008_ori.npy,008_comp.npy,0.0,plag_doubt-as-negative: 008_ori -> 008_comp,mippia_plag_doubt_negative,mippia
051_ori.npy,051_comp.npy,0.0,plag_doubt-as-negative: 051_ori -> 051_comp,mippia_plag_doubt_negative,mippia
033_ori.npy,033_comp.npy,0.0,plag_doubt-as-negative: 033_ori -> 033_comp,mippia_plag_doubt_negative,mippia
049_ori.npy,049_comp.npy,0.0,plag_doubt-as-negative: 049_ori -> 049_comp,mippia_plag_doubt_negative,mippia
061_ori.npy,057_comp.npy,0.0,hard-neg-mippia: 061_ori vs 057_comp,mippia_hard_negative,mippia_hard_negative
063_ori.npy,052_comp.npy,0.0,hard-neg-mippia: 063_ori vs 052_comp,mippia_hard_negative,mippia_hard_negative
052_ori.npy,001_comp.npy,0.0,hard-neg-mippia: 052_ori vs 001_comp,mippia_hard_negative,mippia_hard_negative
019_ori.npy,019_comp.npy,1.0,plag: 019_ori -> 019_comp,mippia_positive,mippia
047_ori.npy,007_comp.npy,0.0,hard-neg-mippia: 047_ori vs 007_comp,mippia_hard_negative,mippia_hard_negative
070_ori.npy,070_comp.npy,0.0,plag_doubt-as-negative: 070_ori -> 070_comp,mippia_plag_doubt_negative,mippia
044_ori.npy,044_comp.npy,0.0,plag_doubt-as-negative: 044_ori -> 044_comp,mippia_plag_doubt_negative,mippia
055_ori.npy,063_comp.npy,0.0,hard-neg-mippia: 055_ori vs 063_comp,mippia_hard_negative,mippia_hard_negative
047_ori.npy,009_comp.npy,0.0,hard-neg-mippia: 047_ori vs 009_comp,mippia_hard_negative,mippia_hard_negative
037_ori.npy,007_comp.npy,0.0,hard-neg-mippia: 037_ori vs 007_comp,mippia_hard_negative,mippia_hard_negative
012_ori.npy,012_comp.npy,0.0,plag_doubt-as-negative: 012_ori -> 012_comp,mippia_plag_doubt_negative,mippia
003_ori.npy,003_comp.npy,1.0,plag: 003_ori -> 003_comp,mippia_positive,mippia
064_ori.npy,064_comp.npy,0.0,plag_doubt-as-negative: 064_ori -> 064_comp,mippia_plag_doubt_negative,mippia
021_ori.npy,021_comp.npy,1.0,remake: 021_ori -> 021_comp,mippia_positive,mippia
013_ori.npy,013_comp.npy,1.0,plag: 013_ori -> 013_comp,mippia_positive,mippia
052_ori.npy,052_comp.npy,1.0,remake: 052_ori -> 052_comp,mippia_positive,mippia
013_ori.npy,027_comp.npy,0.0,hard-neg-mippia: 013_ori vs 027_comp,mippia_hard_negative,mippia_hard_negative
029_ori.npy,054_comp.npy,0.0,hard-neg-mippia: 029_ori vs 054_comp,mippia_hard_negative,mippia_hard_negative
056_ori.npy,056_comp.npy,1.0,remake: 056_ori -> 056_comp,mippia_positive,mippia
027_ori.npy,065_comp.npy,0.0,hard-neg-mippia: 027_ori vs 065_comp,mippia_hard_negative,mippia_hard_negative
022_ori.npy,022_comp.npy,1.0,plag: 022_ori -> 022_comp,mippia_positive,mippia
027_ori.npy,027_comp.npy,1.0,plag: 027_ori -> 027_comp,mippia_positive,mippia
017_ori.npy,055_comp.npy,0.0,hard-neg-mippia: 017_ori vs 055_comp,mippia_hard_negative,mippia_hard_negative
037_ori.npy,037_comp.npy,1.0,plag: 037_ori -> 037_comp,mippia_positive,mippia
017_ori.npy,017_comp.npy,1.0,plag: 017_ori -> 017_comp,mippia_positive,mippia
001_ori.npy,006_comp.npy,0.0,hard-neg-mippia: 001_ori vs 006_comp,mippia_hard_negative,mippia_hard_negative
055_ori.npy,001_comp.npy,0.0,hard-neg-mippia: 055_ori vs 001_comp,mippia_hard_negative,mippia_hard_negative
016_ori.npy,035_comp.npy,0.0,hard-neg-mippia: 016_ori vs 035_comp,mippia_hard_negative,mippia_hard_negative
